Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Stroud District Council,0,1247.01,22.88,15.8,0,33.28,0,0,0,0,0,32.34,63.64,1352.52,0,82.57,0,0,0
Test Valley Borough Council,542.9,3.12,0.489,787.78,0,5.72,0,0,0,0,0,0,89.571,2022.1,0,0,1.76,0,0
Welwyn Hatfield Council,42.24,644.36,2.44,2737.56,0,4.69,0,0,0,0,0,0,18.53,1557.94,6.78,0,0,0,0
York City Council,1211.2,2100.93,417.66,2447.3,761.97,216.31,6.01,0,0,15.78,1.98,0,73.98,0,523.69,0,2.44,211.67,0
Cherwell District Council,715.44,2.54,2.05,3668.12,0,14.19,2.71,0,0,0,0,56.65,77.36,2826.8,0,0,0,0,0
Telford and Wrekin Council,15.26,1789.86,75.06,2723.81,626.68,231.1,4.06,18.68,108.3,40.92,4.39,7.28,57.48,1749.98,6.14,19.57,1.22,266.14,25.21
South Staffordshire Council,17.73,26.37,0,2379.86,0,12.87,0,0,0,0,0,158.32,2.75,2851.9,0,0,0,0,0
Mole Valley District Council,0,36.79,0,1901.89,0,7.14,0,0,0,0,0,22,3.69,2575.24,0,0,0,0,0
Arun District Council,0,0,0,1331.42,0,9.61,0,0,0,0,0,0,36,3559.02,0,0,0,0,0
Stockport MBC,0,3815.62,0,7411.5,0,5.92,0,0,0,0,0,0,32.588,3080.62,0,0,0,0,0
Dudley MBC,1390.89,2994.211,133.33,3355.08,573.06,132.206,3.659,0,0,60.08,3.69,13.886,46.188,711.5,0,0,32.803,373.32,0
Lewisham LB,2.82,27.18,17.58,465.57,171.46,52.71,0,0,0,0,0.06,304.05,32.34,4461.51,2.29,0,110.74,142.84,0
North Somerset Council,1567.74,3821.76,529.19,5215.1,1201.97,353.37,9.7,0.99,0,75.96,5.25,15.81,75.37,0,581.17,0,0,535.6,70
Fenland District Council,50.59,19.763,0,2440.54,0,0,0,0,0,0,0,0,35.6,2285.376,4.9,0,0,0,0
Halton Borough Council,19.48,131.43,96.9,1347.78,483.22,136.91,4.63,6.12,0,39.96,2.66,33.34,178.19,2054.1,58.32,0,50.72,334.06,1.79
Derbyshire County Council,51.61,686.46,641.9,1915.21,2174.48,814.55,24.36,54.42,16.94,185.28,17.36,218.77,180.22,0,251.24,0,0.77,1410.9,5.94
Southend-on-Sea Borough Council,16,108,84,2928,711,144,0,0,0,0,0,170,12,4015,36,0,0,414,0
Worcester City Council,28.93,13.62,0,302.52,0,1.55,0,0,0,0,0,126.25,27.98,2654.8,0,5.61,0,0,0
Chorley Borough Council,33.89,975.69,0,1983.96,0,26.34,0,0,0,0,0,0,6.35,1526.34,0,19.64,0.79,0,0
East Lindsey District Council,534.56,17.81,0.071,2572.98,0,0,0,0,0,0,0,276.56,74.824,2684,0,42.169,0,0,0
West Oxfordshire District Council,590.4,941.336,81.27,3097.65,0,8.1,0,0,0,0,0,228.54,39.838,677.03,217.98,0,0,0,0
Taunton Deane Borough Council,675.425,1165.369,120.885,1692.04,0,0,0,0,0,0,0,40.594,34.253,0,140.681,13.238,0,0,0
Surrey Heath Borough Council,54.85,80.14,9.66,1440.94,0,6.46,0.68,0,0,0,0,33,43.43,2736.46,5.53,0,0,0,0
Mid Sussex District Council,0,14.5,0,1101.56,0,5.6,0,0,0,0,0,0,8.95,3478.39,0,0,0,0,0
Wolverhampton MBC,0,124.56,101.57,4569.4,718.66,135.03,0,10.56,0,101.9,6.1,0,18.96,4472.67,22.01,0,0,504.44,0
Bexley LB,845,2945,181,4155,793,204,3,10,0,18,8,311,305,1467,53,0,74,751,0
Reading Borough Council,550.9,117.51,128.76,1620.51,547.67,154.16,6.24,11.47,99.78,70.32,3.18,3.13,93.6,2498.48,12.12,0,3.12,364.22,19.14
Carlisle City Council,602.38,1172.46,154.48,1518.32,0,0,0,0,0,0,0,77.218,0,0,263.14,0,0,0,0
Derby City Council,13.2,172.69,142.91,1378.18,533.62,269.02,6.29,7.12,0,62.72,6.29,32.37,37.04,4610.9,66.33,0,0,15.54,1.13
East Sussex County Council,136.46,661.61,572.76,2028.715,764.96,866.15,20.2,14.33,384.058,125.52,14.39,77.22,43.28,0,7.86,0,0,1237.01,9.82
Worcestershire County Council,47.76,692.77,828.175,3450.56,2172.895,429.866,20.154,0,0,250.12,15.844,0,102.59,5.44,0,5.838,0.086,2643.64,0
East Riding of Yorkshire Council,140.66,493.949,394.17,9802.36,1532.96,579.27,10.91,35.38,124.6,153.56,8.73,2.4,168.798,8431.46,10.71,0,0.14,1576.09,0
Ashford Borough Council,25.08,35.78,0.5,2118.54,0,3.97,0,0,0,0,0,0,6.62,3115.16,0,0,0,0,0
Pendle Borough Council,54.8,768.88,0.29,505.76,0,31.33,0,0.81,0,0,0,0,11.93,938.76,0.55,46.95,2.97,0,0
South Kesteven District Council,0,7.318,0.071,1790.04,0,0,0,0,0,0,0,161.51,25.052,3758.319,0,0,10.9,0,0
Richmondshire District Council,321.28,480.24,57.415,476.96,0,1.68,0,0,0,0,0,0,27.964,0,74.84,0,1.693,0,0
Harrogate Borough Council,277.87,52.062,2.25,2091.21,0,6.058,0,0,0,0,0,0,34.07,2597.34,2.04,13.906,1.927,0,0
St Edmundsbury Borough Council,471.211,175.315,0,2846.62,0,22.693,3.398,0,0,0,0,241.997,37.166,2110.25,4.7,0,0.408,0,0
Rugby Borough Council,0,0,0,2076.42,0,0,0,0,0,0,0,57.57,0.46,2527.9,0,0,0,0,0
Greater Manchester WDA (MBC),0,1786.23,1742.93,2755.19,7891.48,2343.52,44.96,85.48,0,566.5,31.11,0,559.03,251.52,113.23,35.3,3.64,8687.8,0
Greenwich LB,0,34.86,116.13,3318.7,973.28,116.78,2.06,11.74,0,52.06,2.86,0.4,103.802,5368.36,23.72,18.235,60.24,635.62,1.76
Tower Hamlets LB,0,15.02,3.62,239.04,159.2,58.9,0.62,0,0,0,0.76,0,92.8,3082.28,1.58,0,0,0,0
Bath and North East Somerset Council,1101.87,2269.7,354.92,3343.79,954.6,254.06,9.76,9.11,0,87.1,6.98,21.62,67.47,0,287.11,2.84,0,876.72,0
South Derbyshire District Council,50.56,860.59,4.53,2099.7,0,1.24,0,0,0,0,0,0.17,31.66,974.98,8.66,6.1,1.06,0,0
Cotswold District Council,686.93,1053.47,144.86,2913.78,0,9.7,0,0,0,0,0,25.85,53.3,0,140.97,20.02,1.65,0,0
South Ribble Borough Council,2.71,993.21,0,1884.06,0,0.56,0,0,0,0,0,17.4,6.77,1410.46,0,24.95,0,0,0
Harborough District Council,0,549.844,0,2042.45,0,1.097,0,0,0,0,0,502.831,47.08,1751.02,0,1.577,0,0,0
Breckland Council,236.591,19.48,0.12,1646.72,0,7.84,0,1.76,0,0.14,0,0.256,12.251,2839.3,0,0,0,0,0
Oldham MBC,0,1905.22,0,2779.25,0,0,0,0,0,0,0,0,0,1920.14,0,0,0,0,0
Doncaster MBC,42.77,416.955,252.608,4578.42,943.46,343.009,8.585,11.64,0,64.2,6.696,2.473,107.31,4493.16,98.89,18.827,0.792,1354.08,0
Hounslow LB,921.08,1824.78,506.34,2609.64,229.05,91.25,9.61,0,0,11.08,7.78,742.22,174.56,0,524.6,47,96.11,119.04,0
Cambridgeshire County Council,71.63,651.04,743.03,1892.9,2196.84,825.14,24.07,0,651.72,180.84,24.08,0,103.2,0,178.81,89.64,0,2030.42,6.55
North Devon District Council,591.592,1012.791,86.191,1974.085,0,15.761,0,0,0,0,0,0,48.058,0,113.114,25.915,0,0,0
Tewkesbury Borough Council,0,2.96,1.7,1722.1,0,8.38,0,0,0,0,0,26.09,47.15,2156.42,0,36.14,0,0,0
Sevenoaks District Council,561.58,170.65,0,1062.66,0,14.02,0,0,0,0,0,0,44.457,1829.94,0,0,0,0,0
North West Leicestershire District Council,504.85,956.765,1.34,1674.8,0,10.323,0,0,0,0,0,69.787,16.621,333.34,0,14.829,1.011,0,0
Norwich City Council,126.58,0,0.12,1204.84,0,10.14,0,0.74,0,0,0,0,0,2730.46,0,0,0.01,0,0
East Northamptonshire Council,0,0,0,861.78,0,0,0,0,0,0,0,0,6.43,2184.76,0,0,0,0,0
Oxford City Council,32.46,27.21,6.26,1873.55,0,17.52,1.58,0,0,0,0,281.15,64.76,4180.8,5,0,0,0,0
Somerset County Council,207.082,1028.208,904.246,4720.115,1042.518,939.317,23.86,0,0,200.195,12.75,112.67,174.44,0,25.6,0,5.344,0,0
Tameside MBC,0,1934.04,0,2315.18,0,6.72,0,0,0,0,0,0,2.56,2203.28,0,0,0,0,0
Sandwell MBC,24.77,136.72,148.4,3831.03,805.96,187.19,6.6,21.7,242.12,51.12,3.96,12,137.61,6660.98,21.68,0,68.15,438.35,0
Bromley LB,119.02,4122.54,177.28,5950.62,805.44,264.51,0,4.22,0,25.68,7.34,146.76,51.1,2783.07,15.95,0,106.88,0,0
Newham LB,2.96,135.63,156.87,476.58,702.46,132.75,1.98,50.06,0,0,1.44,947.7,21.88,3114.2,41.87,0.15,0,54.79,2.52
Huntingdonshire District Council,0,1.56,0,4328.24,0,0.58,0,0,0,0,0,7.74,51.83,4509.22,0.76,0,0,0,0
