Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Havant Borough Council,473.83,0.28,3.285,750.31,0,4.04,0,0,0,0,0,0,75.96,1981.76,21.44,0,0,0,0
North Hertfordshire District Council,0,1043.02,0,4390.64,0,4.61,0,0,0,0,0,0,7.75,2420.26,0,0,0,0,0
Dover District Council,0,1120.36,0,1436.71,0,7.63,0,0,0,0,0,0,17.594,1379.8,0,0,0,0,0
Charnwood Borough Council,61.388,38.686,0.918,3586.58,0,54.493,2.737,0,0,0,0,6.995,75.007,4254.5,0.123,34.661,0,0,0
Norfolk County Council,251.32,726.73,1062.324,7403.67,781.111,1711.445,52.483,10.87,0,186.735,35.738,248.489,186.66,0,113.88,0,1.437,1628.1,0
Mansfield District Council,234.47,9.79,0,2036,11.68,0,0,0,0,0,0,11.67,23.64,1880.31,0,0,0,0,0
Cannock Chase Council,0.255,2.213,0,2779.1,0,0,0,0,0,0,0,0,21.179,2711.1,0,0,0,0,0
Swindon Borough Council,1112.96,2071.14,556.84,3159.1,1365.46,316.23,18.55,5.22,42.68,95.18,0,0,40.05,0,468.96,44.28,0,2158.8,0
Wakefield City MDC,106.99,764.65,304.95,7819.77,1353.75,375.24,12.6,34,0,108.8,9.87,7.68,365.34,5863.11,163.79,0,49.25,226.78,27.3
Camden LB,0,86.31,52.08,1003.6,311.22,114.63,0,0,0,44.36,1,252.54,180.09,4681.22,7.98,1.07,0.03,301.82,0.94
Westminster City Council,1440.24,640.12,0,597.1,0,120.12,0.47,0,0,0,0,0,89.94,5285.28,0,0,0,0,0
Exeter City Council,456.94,101.41,0,837.66,2.84,2.835,0,0,0,0,0,7.28,13.1,1737.9,0,68.83,2.96,0,0
Southampton City Council,1054.97,160.05,412.46,2388.02,0,119.37,13.68,0,369.7,73.09,5.13,179.5,82.35,2826.94,16.43,0,0,686.59,0
