Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
Taunton Deane Borough Council,788.94,1052.617,102.579,176.24,2015.99,0,0,1.07,0,0,0,0,40.067,49.71,0,13.44,0,0,0
Surrey Heath Borough Council,52.72,93.25,12.99,7.37,1995.1,0,11.24,0,0.88,0,0,0,0,68.8,2503.54,0,0,0,0
Mid Sussex District Council,0,0,0,0,1918.8,0,8.03,0,0,0,0,0,0,14.14,3340.12,0,0,0,0
Wolverhampton MBC,0,135.45,192.76,0,8058.36,1128.7,209.68,0,0,0,85.3,10.9,0,30.16,4590.72,0,0,866.68,0
Bexley LB,742,2852,343,17,5832,1233,270,8,0,0,24,5,322,370,1647,0,124,1123,0
Reading Borough Council,604.61,112.55,237.08,13.5,2373.01,0,206.3,9.9,0,275.36,83.61,3.65,4.4,118.06,2331.28,0,2.24,679.28,29.03
Carlisle City Council,636.94,996.97,138.73,264.88,3573.56,0,0.66,0,0,0,0,0,0,4.116,42.66,0,0.36,0,0
Derby City Council,9.32,207.71,304.54,85.78,3537.43,1128.44,320.2,11.9,11.07,42.1,90.46,11.99,120.2,267.04,4779.18,0,0,0,3.42
East Sussex County Council,144.78,652.44,1002.46,7.73,4289.18,1248.04,1089.92,43.17,16.7,991.97,111.38,29.5,164.62,87.02,0,0,0,1899.77,15.47
Worcestershire County Council,81.08,775.91,1474.61,0,7091.48,3292.748,564.577,27.149,0,0,344.58,25.708,0,151.736,7.62,5.061,34.656,5405.24,0
East Riding of Yorkshire Council,170.06,528.925,695.727,6.745,16965.59,2273.42,761.623,30.37,39.48,0,152.76,12.904,68.329,194.614,9328.77,0,3.045,4006.59,0
Ashford Borough Council,0,0,0,0,2802.1,0,9.7,0,0,0,0,0,0,15.94,3147.79,0,0,0,0
Pendle Borough Council,30.52,720.09,0,1.35,1005.46,0,55.92,0,0,0,0,0,0,27.31,1047.02,49.73,3.7,0,0
South Kesteven District Council,0,0,0,0,3802.74,0,0,0,0,0,0,0,0,0,4149.98,0,0,0,0
Richmondshire District Council,252.495,345.015,177.245,177.245,1022.64,0,2.2,0,0,0,0,0,0,39.929,0,0,1.459,0,0
Harrogate Borough Council,81.87,40.34,3.4,1.16,3899.32,0,6.67,0,0,0,0,0,0,40.99,2578.4,13.922,0,0,0
St Edmundsbury Borough Council,688.398,148.746,26.62,0,2401.24,0,42.605,2.8,0,0,0,0,21.35,71.837,2039.85,0,0.189,0,0
Rugby Borough Council,0,0,0,0,4055.12,0,0,0,0,0,0,0,0,3.54,2667.2,0,0,0,0
Greater Manchester WDA (MBC),0,1944.16,3130.27,115.13,6148.51,12473.82,3250.18,74.71,131.42,0,437.4,44.31,0,609.86,293.28,21.69,0,15591.06,0
Greenwich LB,0,8.28,140.2,15.9,5158.96,786.42,201.036,6.84,9.32,0,55.7,4.06,0,100.36,5076.48,7.85,194.3,0,0.6
Tower Hamlets LB,0,15.4,38.8,2.78,317.72,183.84,80.68,0.3,0,0,0,0.44,0,167.11,2995.4,0,0,75.94,0.54
Bath and North East Somerset Council,1325.9,2236.47,574.5,394.99,5179.946,1149.93,311.43,10.72,12.58,0,88.04,9.51,6.61,116.63,0,4.33,0,1415.61,0
South Derbyshire District Council,45.9,707.44,6.13,0.13,4122.26,0,1.31,0,0,0,0,0,0.77,30.77,1060.9,7.35,1.61,0,0
Cotswold District Council,785.24,985.56,172.53,169.26,4539.86,0,13.88,0,0,0,0,0,34.819,73.83,0,39.24,1.27,0,0
South Ribble Borough Council,0.67,976.94,0,0,3888,0,13.91,0,0,0,0,0,25.19,14.17,1534.3,14.22,5.23,0,0
Harborough District Council,0,8.801,0,0,2273.53,0,0,0,0,0,0,0,4.223,31.532,2485.82,1.141,0,0,0
Breckland Council,171.62,18.17,0,0,2749.96,0,9.58,0,2.68,0,0.02,0,0,5.03,2856.72,0,0,0,0
Oldham MBC,0,1948.94,0,0,4654.4,0,0,0,0,0,0,0,0,0,2293.97,0,0,0,0
Doncaster MBC,47.73,371.408,452.685,144.3,10204.84,1392.23,453.896,11.157,20.04,0,78.2,9.652,1.136,148.051,4714.47,35.792,0.781,2458.78,0
Hounslow LB,944.37,1871.71,674.18,627.72,2592.16,1082.74,138.18,9.7,0,0,15.78,9.76,0,201.86,0,226.52,87.16,241,0
Cambridgeshire County Council,91.62,729.66,1282.36,338.64,3875.68,3486.12,1126.26,42.61,0,1579.5,199.86,26.48,0,143.36,0,124.12,0,3475.5,10.28
North Devon District Council,844.65,952.671,55.668,197.33,3320.35,0,10.105,0,0,0,0,0,0,15.16,0,28.602,0,0,0
Tewkesbury Borough Council,0,15.74,0.13,0,2749.26,0,8.29,0,0,0,0,0,32.959,60.02,2242.16,29.51,0,0,0
Sevenoaks District Council,522.79,134.36,0,0,1581.28,0,16.38,0,0,0,0,0,0,49.025,1581.7,0,0,0,0
North West Leicestershire District Council,612.71,882.76,76.69,214.89,4073.92,0,12.604,0,0,0,0,0,0.672,2.4,64.6,0,1.084,0,0
Norwich City Council,32.84,0,0.08,0,1561.62,0,13.02,0,0.72,0,0,0,0,0,2805.82,0,0,0,0
