Authority,Jpp Order,AuthorityId,Authority Type,Authorised Status,"HH waste not sent for recycling, reuse or composting",Number of households,"HH waste sent for recycling, composting or reuse",Total hh waste collected,Household Waste Sent For Dry Recycling,Household Waste Sent For Composting,Total Household Waste collected,Population of Authority
Rother District Council,287.0,307.0,Collection,40.0,4661.351778,44520.0,4851.035221,8184.229,2154.585,2629.926221,9445.863000000001,92908.0
Royal Borough of Kensington and Chelsea,269.0,176.0,Collection,40.0,10709.020224,88530.0,3415.419775,13285.45,3082.309775,323.35,14114.68,157711.0
Rugby Borough Council,170.0,89.0,Collection,40.0,5334.929289,45230.0,6202.44071,9906.6,2223.510256,3975.380454,11533.83,103443.0
Runnymede Borough Council,333.0,266.0,Collection,40.0,3788.312,35280.0,2978.671,6879.389,1525.171,1450.58,6758.763000000001,85594.0
Rushcliffe Borough Council,132.0,249.0,Collection,40.0,5788.307371,48640.0,6887.6426280000005,9907.96,2499.50435,4361.238278,12659.95,114474.0
Rushmoor Borough Council,296.0,243.0,Collection,40.0,5775.11,39250.0,2213.0,7543.95,1446.29,729.74,7951.14,95342.0
Ryedale District Council,81.0,390.0,Collection,40.0,2812.94,25200.0,3093.69,4739.32,1301.93,1791.76,5906.63,53052.0
Salford City Council MBC,46.0,315.0,Collection,40.0,10576.0,113010.0,10157.0,18534.0,4811.0,5346.0,20733.0,245614.0
Scarborough Borough Council,80.0,295.0,Collection,40.0,5902.325,56780.0,5075.09,9475.347,2585.8,2489.29,10977.415,107902.0
Sedgemoor District Council,389.0,332.0,Collection,40.0,5405.784906,53880.0,4875.688093,9876.226,2471.578093,2359.98,10235.765,120260.0
Sefton MBC,70.0,210.0,Collection,40.0,16799.429666,126490.0,12114.090333,24687.27,5120.200333,6913.89,28833.53,273707.0
Selby District Council,79.0,225.0,Collection,40.0,5257.07,37810.0,4777.21,8570.365,1529.88,3241.91,10028.86,85961.0
Sevenoaks District Council,312.0,112.0,Collection,40.0,6612.888000000001,49440.0,4590.287,10346.609,2727.341,1813.92,11154.15,118409.0
Shepway District Council,311.0,182.0,Collection,40.0,5138.675714999999,50100.0,4084.2342840000006,8467.280999999999,1958.713759,2125.520525,9222.91,110034.0
South Bucks District Council,281.0,215.0,Collection,40.0,2858.713446,28500.0,3212.151553,5471.4,1684.8695719999998,1527.281981,6070.865,69120.0
South Derbyshire District Council,97.0,96.0,Collection,40.0,5090.505338,41660.0,5900.774661,13818.152,1743.644661,4122.26,10956.41,99319.0
South Hams District Council,362.0,323.0,Collection,40.0,4233.835,43480.0,5379.054,8748.68,2080.562,3210.308,9524.706,84470.0
South Holland District Council,118.0,12.0,Collection,40.0,5449.76,39760.0,2408.006,8092.396,1948.531,459.475,7857.766,91214.0
South Kesteven District Council,117.0,84.0,Collection,40.0,7332.09,62460.0,7319.93,7812.58,3517.19,3802.74,14652.02,138909.0
South Lakeland District Council,35.0,366.0,Collection,40.0,6284.559,52940.0,6216.85,12059.38,2195.2,4021.65,12501.409,103454.0
South Norfolk Council,219.0,184.0,Collection,40.0,6832.748603,58480.0,6343.093396,10706.78,3297.4193960000002,3043.16,13175.841999999999,131010.0
South Northamptonshire District Council,125.0,408.0,Collection,40.0,3878.0617079999997,37760.0,6999.492291,11893.761,2493.568952,4505.923339,10877.553999999998,89116.0
South Oxfordshire District Council,324.0,263.0,Collection,40.0,4513.68,59110.0,9083.93,8612.282,4024.3140000000003,4953.05,13493.67,137412.0
South Ribble Borough Council,55.0,99.0,Collection,40.0,5901.563894,48810.0,6284.016105,11538.108999999999,2291.988472,3976.847633,12169.94,109651.0
South Somerset District Council,388.0,281.0,Collection,40.0,7719.219394,75860.0,7108.704605,9824.43,3678.3846049999997,3340.71,14736.072,164982.0
South Staffordshire Council,162.0,53.0,Collection,40.0,5338.78,46510.0,7154.86,13900.743,2565.6,4584.05,12489.48,110726.0
Spelthorne Borough Council,332.0,410.0,Collection,40.0,4561.846944,41910.0,3966.5140549999996,10123.84,2187.114107,1754.4579469999999,8503.42,98469.0
St Albans City and District Council,212.0,31.0,Collection,40.0,5343.665178,59840.0,7747.7948209999995,7813.477,3104.4548210000003,4638.2,13086.32,145797.0
St Edmundsbury Borough Council,229.0,88.0,Collection,40.0,6301.754885,48170.0,5255.745114,11923.25,2994.202192,2258.670922,11554.628,112523.0
St Helens MBC,69.0,137.0,Collection,40.0,10749.575,81760.0,8088.385,10640.132,3185.985,4902.4,18837.96,177612.0
Stafford Borough Council,161.0,392.0,Collection,40.0,6601.5642689999995,58240.0,8607.665729999999,16278.52,3192.19318,5415.47255,15209.23,132488.0
Staffordshire Moorlands District Council,160.0,187.0,Collection,40.0,4342.356862,43690.0,6640.973137,12085.91,2021.473945,4607.409192,10971.24,97881.0
Stevenage Borough Council,211.0,167.0,Collection,40.0,4418.575,36490.0,3608.1859999999997,8755.52,1573.746,2027.37,8019.691,86469.0
Stockport MBC,45.0,56.0,Collection,40.0,10386.2,127460.0,17779.724,7692.885,6112.82,11647.88,28146.9,288733.0
Stratford-on-Avon District Council,169.0,159.0,Collection,40.0,5465.174874,56350.0,9648.607125,23234.452999999998,3500.195125,6148.411999999999,15113.782,121522.0
Stroud District Council,379.0,47.0,Collection,40.0,5850.677,52060.0,3470.223,11337.73,2524.0,750.64,9125.31,116627.0
Suffolk Coastal District Council,228.0,158.0,Collection,40.0,5519.015992000001,59640.0,8165.884007,9473.37,3796.223796,4320.53121,13631.071000000002,125052.0
Surrey Heath Borough Council,331.0,70.0,Collection,40.0,2862.1641019999997,35790.0,4793.537897,11330.64,2511.6610539999997,2254.9868420000003,7628.611999999999,88067.0
Swale Borough Council,310.0,327.0,Collection,40.0,7355.527321,61750.0,5266.452678000001,7548.08,3016.365241,2250.087437,12621.98,142417.0
Tameside MBC,44.0,118.0,Collection,40.0,8225.12,101290.0,10655.443000000001,11801.89,4914.223,5741.22,18880.563000000002,221692.0
Tamworth Borough Council,159.0,409.0,Collection,40.0,4140.41,32160.0,3990.04,15491.79,1934.06,2055.98,8130.45,77141.0
Tandridge District Council,330.0,208.0,Collection,40.0,3249.750137,36030.0,4573.229862,6987.169,2502.296111,2052.06375,7804.1,86025.0
Taunton Deane Borough Council,387.0,68.0,Collection,40.0,4841.277965,52380.0,4495.832034,7372.91,2410.832034,2032.21,9283.803,114021.0
Teignbridge District Council,361.0,400.0,Collection,40.0,5527.691999999999,60680.0,7337.198,9455.089,3171.1740000000004,4055.594,12754.46,128826.0
Tendring District Council,196.0,241.0,Collection,40.0,8970.536,68960.0,3358.742,12336.218,2149.553,1102.02,12222.108999999999,141183.0
Test Valley Borough Council,295.0,48.0,Collection,40.0,7232.0801010000005,52380.0,3564.5898979999997,12004.534,2285.309898,1279.28,10796.67,120712.0
Tewkesbury Borough Council,378.0,111.0,Collection,40.0,4025.75,39130.0,4947.659000000001,10375.38,2143.391,2749.26,8915.559000000001,86890.0
Thanet District Council,309.0,405.0,Collection,40.0,8183.4458159999995,66610.0,4284.334183,7839.02,2558.383635,1725.950547,12467.78,139772.0
