Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Co-mingled,Textiles,Furniture,Composite,Plastic,Rubble,Paint
Southwark LB,0,111.81,84.74,1726.39,449.75,69.96,1.14,2.74,0,28.52,1.42,1.94,4946.466,128.813,0,0,5.38,359.42,1.34
Milton Keynes Council,1363.61,315.77,487.88,4940.89,1275.05,466.13,33.76,19.74,0,119.12,11.32,55.93,5214.45,133.95,0,0,6.48,794.23,0
North East Derbyshire District Council,0,506.3,0,745.28,0,13.86,0,0,0,0,0,0.86,1813.59,0,0,0,0,0,0
Hastings Borough Council,267.7,27.87,3.48,193.58,0,23.01,0,0,0,0,0,0,1548.01,40.243,0,0,0,0,0
Rochford District Council,24.6,27.324,0,2259.62,0,17.171,0.083,0,0,0,0,0,2422.14,47.011,9.68,0,0,0,0
Cheltenham Borough Council,760.49,1143.95,163.28,1709.36,289.18,177.31,4.77,0,0,0,1,34.7,92.48,126.37,99.39,2.19,110.88,0,0
New Forest District Council,1356.62,155.21,0,467.1,0,15.6,0,0,0,0,0,0,2700.48,129.89,0,0,0,0,0
St Albans City and District Council,1046.96,1657.98,0,2055.23,0,16.25,0,0,0,0,0,0,499.15,12.58,0,2.91,0.48,0,0
North East Lincolnshire Council,720.402,1141.781,116.18,1094.72,523.24,245.94,4.3,0,0,21.52,1.7,0,340.885,56.049,0,0.03,2.94,69.02,0
Rossendale Borough Council,0,573.548,0,219.72,0,0.72,0,0,0,0,0,0,979.34,15.485,0.59,0,0,0,0
Newark and Sherwood District Council,503.67,1.32,0,305.56,0,0,0,0,0,0,0,1.79,2149.55,10.38,0,1.02,0,0,0
East Staffordshire Borough Council,3.918,476.894,4.964,1644.64,0,0,0,0,0,0,0,0,2344.73,7.198,10.499,0,0,0,0
Surrey County Council,86,1916,1875,4303,267,1827,63,70,0,318,35,40,0,920,0,1,15,3665,0
Manchester City Council MBC,30.2,3498.58,0,3878.48,0,82.16,0,0,0,0,0,0,4081.24,88.45,0,0,0,0,0
Barnsley MBC,1671.56,1977.6,553.38,1599.38,723.78,316.65,8.64,0,0,26.6,5.32,0,0,93.25,0,0.51,414.69,572.04,0
Havering LB,461.592,100.63,170.84,1442.24,763.08,199.16,12.86,7.84,0,41.57,4.48,0,3542.064,70.26,3.04,0,47.97,420.35,0.91
Wealden District Council,535.9,3.545,0,1775.26,0,3.74,0,0,0,0,0,0.225,3722.96,31.508,0,0,0,0,0
Uttlesford District Council,0,0,1.28,1073.46,0,0,0,0,0,0,0,0,2348.4,10.461,0,0,0,0,0
Stroud District Council,0,1276.83,1.42,203.22,0,17.06,0,0,0,0,0,31.16,1512.38,135.17,117.22,0,0,0,0
Test Valley Borough Council,615.62,2.49,11.915,536.98,0,6.38,0,0,0,0,0,0,2041.05,97.206,0,1.559,0.52,0,0
Welwyn Hatfield Council,52.7,544.1,0,1834.54,0,10.77,0,0,0,0,0,0,1719.16,16.32,0,0,0,0,0
York City Council,1745.863,2683.755,578.197,660.107,904.22,329.22,8.06,0,0,21.88,2.1,0,0,84.606,0,1.16,656.251,0,0
Cherwell District Council,755.15,2.05,4.89,2694.86,0,57.41,2.56,0,0,0,0,0,2839.08,91.71,0,0,0,0,0
Telford and Wrekin Council,16.44,1841.64,179.72,1836.72,712.75,325.17,11.38,17.4,154.92,50.7,6.82,4.96,2199.74,146.77,12.39,0.76,4.82,505.28,34.72
South Staffordshire Council,20.87,15.94,0,1699.56,0,6.6,0,0,0,0,0,0,2913.5,3.44,0,0,0,0,0
Mole Valley District Council,0,51.35,0,1416.94,0,6.87,0,0,0,0,0,0,2396.52,10.15,0,0,0,0,0
Arun District Council,0,0,0,923.5,0,13.62,0,0,0,0,0,0,3675.64,35.58,0,0,0,0,0
Stockport MBC,0,3591.65,0,6309.57,0,12,0,0,0,0,0,0,3375.54,18.473,0,0,0,0,0
Dudley MBC,1722.38,2856.6,181.24,434.88,191.96,166.54,10.339,5.56,0,43.08,2.944,24.319,872.227,49.422,0,97.112,0,548.99,0
Lewisham LB,3.02,29.73,20.96,328.16,185.78,55.003,1.643,0,0,0,0,312.007,4601.48,37.921,0,51.76,2.46,148.08,0
North Somerset Council,1503.18,2614.06,621.87,4212.87,1623.08,437.94,7.5,1.89,0,76.76,5.1,22.71,0,76.66,0,0,654.82,743,65
Fenland District Council,51.888,59.2,1.209,1695.74,0,0,0,0,0,0,0,5,2349.279,113.164,0,0,2.195,0,0
Halton Borough Council,15.18,159.54,150.87,741.88,633.7,177.13,6.52,8.62,0,45.06,2.2,60.69,2564.16,171.31,0,30.66,80.3,368.66,2.75
Derbyshire County Council,71.91,782.78,930.64,1490.02,2736.55,1279.42,17.39,66.27,0,197.92,18.33,240.5,0,228.5,0,0.98,179.51,1393.04,0
Southend-on-Sea Borough Council,17.04,90.62,138.02,2379.28,543.26,195,0,0,0,13.88,5.08,0,3798.8,29.32,0,0,0,491.35,0
Worcester City Council,14.08,14.6,5.75,146.8,0,1.81,0,0,0,0,0,2.16,2751.96,58.03,15.98,0,0,0,0
Chorley Borough Council,30.86,1010.3,0,1433.64,0,60.02,0,0,0,0,0,0,1677.66,7.26,18.78,0.81,0,0,0
East Lindsey District Council,421.41,0.266,0,1424.87,0,0,0,0,0,0,0,0,2785.32,33.472,0,0,0,0,0
West Oxfordshire District Council,384.25,119.766,6.49,2338.78,0,11.2,0,0,0,0,0,0,2699.22,31.01,0,0,23.58,0,0
Taunton Deane Borough Council,772.528,1223.425,99.543,1757.28,0,0,0,0,0,0,0,49.736,0,31.081,12.406,0,161.35,0,0
Surrey Heath Borough Council,103.11,86.85,9.02,1466.3,0,10.46,0.8,7.96,0,0,0,0,2493.82,76.26,0,0,12.29,0,0
Mid Sussex District Council,0,0,0,676.6,0,7.14,0,0,0,0,0,0,3532.54,13.06,0,0,0,0,0
Wolverhampton MBC,0,151.87,160.27,1407.62,875.08,193.89,0.7,14.22,0,116.6,1.4,0,4892.88,26.81,0,0,42.86,508.72,0
Bexley LB,744,3012,251,3838,972,286,10,7,0,38,4,311,1931,349,0,111,24,746,0
