Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Co-mingled,Textiles,Furniture,Composite,Plastic,Rubble,Paint
Bolsover District Council,19.324,331.76,0,983.06,0,9.62,0,0,0,0,0,1.32,1361.64,6.393,0,0,0,0,0
Wyre Forest District Council,20.04,30.13,0,458.4,0,2.55,0,0,0,0,0,0,2648.5,18.42,0,0,0,0,0
Hyndburn Borough Council,433.56,732.4,2.68,335.93,24.81,17.03,0.92,0,0,0,0,0,296.48,1.62,19.52,0,0,0,0
North Kesteven District Council,36.86,0,0,2238.18,0,0,0,0,0,0,0,0,2847.24,7.383,0,0,0,0,0
Hambleton District Council,585.39,711.11,94.32,1955.59,0,1.9,0,0.236,0,0,0,0,0,25.076,0,1.32,99.77,0,0
South Somerset District Council,1065.379,1774.481,154.774,2259.22,0,0,2.87,0,0,0,0,74.919,0,92.213,21.032,0,184.91,0,0
Ipswich Borough Council,551.74,96.05,15.45,2190.56,20.98,48.36,0,0,0,2.4,0,0,2400.42,44.34,47.73,0,0,7.8,0
Waverley Borough Council,0,75.23,0,1817,0,4.4,0,0,0,0,0,0,3557,19.72,0,0,0,0,0
North Warwickshire Borough Council,0,401.36,0,1555.67,0,18.54,0,8.59,0,0,0,0,686.48,0,0,0,0,0,0
Hillingdon LB,105,300,152,3862,393,172,2,0,0,17,4,0,5167,176,0,107,10,222,0
Windsor and Maidenhead Borough Council,0,68.7,126.26,2754.68,0,160.1,6.56,0,35.92,18.96,1.42,13.1,3979.96,41.008,0,0,0,225.66,9.02
Eden District Council,0,668.66,0,882.92,0,2.74,0,0,0,0,0,0,558.28,12.74,0,0,49.06,0,0
High Peak Borough Council,596.39,0,0,1449.94,0,5.12,0,0,0,0,0,0,1467.94,6.58,68.02,1.18,0,0,0
Poole Borough Council,0,113.41,181.92,2358.1,735.13,236.74,5.1,1.3,0,23.4,0,12.36,3610.78,48.03,24.24,0,0,203.43,0
Eastbourne Borough Council,405.36,18.45,0,1190.22,0,1.7,0,0,0,0,0,0,1515.35,32.26,0,0,0,0,0
Gloucestershire County Council,105.75,669.51,742.846,1887.5,2033.6,660.268,14.014,0,378.84,250.28,12.228,28.944,0,72,0,0.147,23.31,1769.68,0
Dartford Borough Council,391.3,11.31,1.2,346.06,0,4.11,0,0,0,0,0,0,1623.08,15.46,0,0,0,0,0
Ribble Valley Borough Council,14.85,533.94,0.94,819.1,0,3.56,0,0,0,0,0,0,576.64,6.665,0,0,0,0,0
Scarborough Borough Council,0,0,0,1839.54,0,0,0,0,0,0,0,0,2874.64,0,0,0,0,0,0
Waveney District Council,489.65,0,0,3128.12,0,0,0,0,0,0,0,0,2532.1,4.01,0,0,0,0,0
Warwick District Council,687.28,1242.42,95.96,3253.74,0,0,0,0,0,0,0,0,208.28,22.11,0,0,265.3,0,0
Bury MBC,0,2161.84,0,3469.22,0,9.14,0,0,0,0,0,0,2216.88,6.52,0,0,0,0,0
Brent LB,6.97,90.38,52.11,2904.02,10.74,43.44,0,13.94,10.5,7.14,1,1.07,5786.9,111.38,0,15.68,1.54,31.22,0
Merton LB,15.78,101.51,61.37,1743.3,550.23,154.71,2.46,0,0,17.73,0,0,3993.7,114.14,0,37.84,21.77,471.4,0
East Devon District Council,1000.24,1073.433,172.23,1413.862,0,2.385,0,0,0,0,0,447.92,0,9.9,3.995,0,156.92,0,0
Rother District Council,483.67,11.855,3.35,1630.42,0,24.63,0,0,0,0,0,0,1683.98,49.469,0,0,0,0,0
Gloucester City Council,676.81,928.93,132.79,1757.18,14.36,17.18,0,0,0,0,0,41.77,0,44.84,96.82,0.4,195.92,0,0
Maidstone Borough Council,31.42,0,0,2899.61,0,2.04,0,0,0,0,0,0,3953.3,3.28,0,0,0,0,0
Wyre Borough Council,22.92,1288.39,0.026,2054.26,0,18.422,0,0,0,0,0,0.422,1088.19,25.512,62.468,0,0,0,0
Leicester City Council,44,309,295,719,842,200,3,2,0,55,4,21,4037,51,11,0,0,800,4
Great Yarmouth Borough Council,49.47,9.26,0,580.06,0,29.961,0,0.208,0,0,0,0,2165.12,2.076,0,0,0,0,0
Corby Borough Council,8.35,0,0,846.2,0,0,0,0,0,0,0,0,1665.07,14.73,0,0,0,0,0
Oxfordshire County Council,75.29,648.16,698.94,2064.8,2359.86,884.58,24.84,17.18,0,172.46,11.36,39.9,0,100.28,54.73,0,13.96,1114.13,0
Salford City Council MBC,0,2428,0,3770,0,0,0,0,0,0,0,0,2358,0,0,0,0,0,0
Sheffield City Council,124.6,4596.4,352.1,1899,1040.9,361.3,0,0,0,94,11.6,23.9,4493.3,80,0,0,0,0,0
Coventry City Council,0,132.23,197.89,3017.44,34.73,199.92,7.93,6.35,0,43.76,4.16,2.05,5504.6,150.87,0,0,0.51,1857.33,5.74
Hackney LB,557.42,162.511,122.94,1646.59,79.94,107.69,0,2.32,0,0,0,0,4434.43,135.441,18.231,169.13,0,0,0
Waltham Forest LB,0,125.397,104.04,2244.32,630.3,161.118,1.55,0,0,43.24,2.86,1.295,4699.85,169.963,16.101,0.846,10.44,786.02,10.95
East Cambridgeshire District Council,31.519,18.53,0,2291.66,0,0,0,0,0,0,0,32.204,2032.617,6.04,0,0,1.12,0,0
Redcar and Cleveland Borough Council,29.41,587.93,86.969,1441.19,423.5,101.622,0,7.627,0,27.42,1.8,38.42,1952.634,13.37,0,58.04,6.9,497.68,3.69
South Hams District Council,534.46,1211.231,3.69,2372.385,0,1.485,0,0,0,0,0,89.24,197.9,28.392,31.454,2.43,0,0,0
Basildon District Council,878.44,50.45,35.42,4064.77,194.66,17.302,1.652,2.217,0,0,0.139,0,3455.78,53.063,9.484,0.06,0,0,0
Kingston-upon-Hull City Council,7.32,207.06,225.49,3414.04,1014.55,335.81,7.58,8.64,0,82.74,3.65,10.08,4563.94,142.54,0,0.14,2.04,1054.48,0
Swale Borough Council,48.73,106.5,0,1572.82,0,1.8,0,0,0,0,0,0,3406.08,16.88,0,0,0,0,0
Rutland County Council,32.35,88.75,58.08,884.46,68.56,81.58,0.98,9.28,0,3.82,0,0.12,1086.24,10.03,10.05,33.61,15.28,160.88,0.24
Kings Lynn and West Norfolk Borough Council,0,13.72,0,2675.78,0,9.22,0,5.52,0,0,0,0,3873.28,53.17,0,0,0,0,0
Northampton Borough Council,1185.24,2138.23,339.56,3437.64,0,0,0.58,0,0,0,0,41.05,87.82,14.33,6.81,0,469.01,0,0
Vale of White Horse District Council,0,3.231,0,3000.62,0,6.6,0.66,0,0,0,0,0,3572.57,51.337,0,0,0,0,0
