Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
North Somerset Council,1356.84,2752.64,527.53,601.83,5494.04,1229.46,304.69,1.68,1.52,0,54.34,7.95,14.7,76.67,0,0,0,605.78,95
Fenland District Council,44.76,3.793,0.2,0,2318.44,0,0,0,0,0,0,0,4.078,103.049,2202.7,0,0,0,0
Halton Borough Council,11.88,148.81,140.49,100.91,1030.06,518.21,155.49,2.866,6.1,0,35.62,1.5,59.63,177.57,2483.86,0,52.26,360.96,11.94
Derbyshire County Council,78.54,741.28,850.98,206.45,2314.46,2633.78,931.38,22.07,64.02,0,47.22,23.65,389.1,199.38,0,0,0.97,1269.92,4.88
Southend-on-Sea Borough Council,5.74,1136.7,128.48,0,2456.16,535.24,252,0.5,0,0,15.68,6.14,0,98.02,2434.67,0,0,461.06,3.62
Worcester City Council,6.45,13.33,3.74,0,324.96,0,2.92,0,0,0,0,0,0.33,58.424,2344.62,8.48,0,0,0
Chorley Borough Council,15.9,862.89,0,0,2000.4,0,45.16,0,0,0,0,0,0,4.73,1683.4,5.59,0.53,0,0
East Lindsey District Council,534.51,0.2,0,0,2598,0,0,0,0,0,0,0,0,55.434,2749.42,0,0,0,0
West Oxfordshire District Council,431.13,84.85,4.42,16.05,3424.38,0,12.8,0,0,0,0,0,0,41.13,2517.59,0,0,0,0
Taunton Deane Borough Council,721.341,1137.313,94.719,127.62,1851.36,0,0,0.61,0,0,0,0,35.314,38.058,0,11.436,0,0,0
Surrey Heath Borough Council,64.53,24.51,8.15,3.61,1782.19,0,9.36,0.64,0,0,0,0,0,45.88,2474.6,0,0,0,0
Mid Sussex District Council,0,0,0,0,1136.98,0,9.88,0,0,0,0,0,0,14.3,3453.1,0,0,0,0
Wolverhampton MBC,0,139.61,154.97,0,4249.52,761.5,149.71,1.63,4.22,0,97.5,5.85,0,24.44,4336.92,0,0,640.92,0
Bexley LB,665,2809,240,43,5054,823,233,11,14,0,31,8,322,352,1780,0,110,686,0
Reading Borough Council,541.43,88.52,125.24,9.73,1494.54,0,153.92,4.48,3.06,23.25,24.87,2.36,2.89,106.6,2325.7,0,2.41,131.31,16.36
Carlisle City Council,688.62,958.05,146.75,243.16,1618.6,0,0,0,0,0,0,0,0,3.164,46.58,0,0.3,0,0
Derby City Council,7.53,201.51,225.99,56.05,1767.82,783.6,250.97,5.45,0.47,0,55.08,6.68,106,45.18,4300.32,0,0,25.12,1.89
East Sussex County Council,117.36,667.345,726.16,5.74,2252.41,466.435,970.9,31.8,19.76,465.62,143.06,18.78,144.15,73.89,0,0,0,1362.28,9.91
Worcestershire County Council,59.44,733.796,1110.205,0,3787.66,2439.654,495.592,19.928,0,0,323.56,13.607,0,130.89,7.26,4.595,40.193,2922.96,0
East Riding of Yorkshire Council,154.95,563.93,519.781,6.021,10149.41,1693.62,667.648,18.92,45.92,0,160.9,13.919,63.654,157.459,7807.28,0,0.14,2248,0
Ashford Borough Council,0,0,0,0,2106.68,0,3.74,0,0,0,0,0,0,6.56,3279.48,0,0,0,0
Pendle Borough Council,25.39,682.78,0,0.53,571.72,0,48.79,0,0.92,0,0,0,0,15.2,978.94,44.81,2.01,0,0
South Kesteven District Council,0,0,0,0,1904.14,0,0,0,0,0,0,0,0,0,3527.86,0,0,0,0
Richmondshire District Council,244.74,325.51,172.51,172.51,565.48,0,0.82,0,0,0,0,0,0,32.85,0,0,1.402,0,0
Harrogate Borough Council,70.9,41.638,2.58,1.22,2041.56,0,5.591,0,0,0,0,0,0,41.191,2515.54,12.932,0,0,0
St Edmundsbury Borough Council,469.842,125.716,35.44,0,1707.18,0,45.543,0,0,0,0,0,20.74,50.416,2115.51,0,0,0,0
Rugby Borough Council,0,0,0,0,1991.76,0,0,0,0,0,0,0,0.26,2.99,2626.52,0,0,0,0
Greater Manchester WDA (MBC),0,2147.16,2094.35,89.43,2840.37,9013.73,2712.98,67.39,78.38,0,359.32,34.1,0,504.91,548.36,13.63,0,9023.48,0
Greenwich LB,0,6.01,96.1,14.1,3087.72,538.8,207.54,2.28,3.963,0,61.34,2.58,0,124.775,4758.41,0,37.48,0,0
Tower Hamlets LB,0,9.68,22.2,2.06,239.52,151.52,78.34,0.52,0,0,0,0,0,161.01,2879.76,0,0,33.16,0
Bath and North East Somerset Council,1239.98,2415.72,475.94,388.7,3553.216,837.78,244.3,8.6,7.69,0,81.5,4.34,5.67,101.02,0,7.1,0.66,863.96,0
South Derbyshire District Council,32.29,708.16,3.34,0.04,2306.09,0,1.46,0,0,0,0,0,0,31.02,988.82,3.89,0.91,0,0
Cotswold District Council,725.51,1024.81,162.67,159.13,3293.57,0,12.76,0,0,0,0,0,33.62,63.206,0,32,1.31,0,0
South Ribble Borough Council,3.18,947.27,0,0,1853.66,0,11.48,0,0,0,0,0,17.52,12,1442.47,15.65,2.45,0,0
Harborough District Council,0,5.138,0,0,1188.44,0,0,0,0,0,0,0,6.902,18.05,2346.931,1.294,0,0,0
Breckland Council,183.922,11.5,0.26,0,1730.98,0,6.24,0,2.92,0,0.22,0,0,5.853,3065.26,0,0,0,0
Oldham MBC,0,1876.98,0,0,3354.98,0,0,0,0,0,0,0,0,0,2128.08,0,0,0,0
Doncaster MBC,56.81,369.573,351.888,98.19,5058.57,954.8,397.176,5.865,5.78,0,68.82,8.285,1.28,124.577,4284.19,33.519,0.675,1405.54,0
Hounslow LB,950.92,1811.72,403.88,576.32,2290.74,580.99,79.2,3,0,0,12.32,1,0,120.5,0,54.7,61.42,106.66,0
Cambridgeshire County Council,87.56,669.96,928.15,209.94,2248.69,2420.71,920.03,36.64,0,750.02,201.18,7,0,114.96,0,57.21,0,2123.3,7.07
North Devon District Council,638.294,942.069,127.417,177.7,2046.18,0,15.322,0,0,0,0,0,0,14.62,0,24.734,0,0,0
Tewkesbury Borough Council,0,17.49,0.11,0,1913.8,0,6.18,0.38,0,0,0,0,8.85,72.63,2216.46,21.09,0,0,0
Sevenoaks District Council,483.07,135.94,0,0,1096.44,0,24,0,0,0,0,0,0,47.049,1618.57,0,0,0,0
North West Leicestershire District Council,523.59,750.92,101.09,213.46,1844.46,0,11.542,0,0,0,0,0,0.151,1.506,0,0,1.583,0,0
Norwich City Council,31.78,0,0,0,1249.46,0,11.7,0,1.22,0,0,0,0,1.32,2834.7,0,0,0,0
East Northamptonshire Council,0,0,0,0,1094.6,0,0,0,0,0,0,0,0,0,2159.16,0,0,0,0
Oxford City Council,142.74,7.44,7.45,6.3,2343,0,27.96,0.93,0,0,0,0,13.98,74.08,4120.1,0,0,0,0
Somerset County Council,164.75,1019.69,985.28,39.17,4783.08,995.73,893.41,30.25,0,0,57.13,2.56,82.78,198.71,0,0,5.5,0,3.8
Tameside MBC,0,2059.39,0,0,3219.58,0,0,0,0,0,0,0,0,0,2877.47,0,0,0,0
Sandwell MBC,25.26,121.24,185.14,1,3489.06,773.28,117.31,7.92,0,312.16,48.44,5.9,7.7,35.47,6722.62,0,0,288.73,0
Bromley LB,316.18,4558.77,215.18,0,5159.18,796.52,221.44,0,0,0,30.54,6.9,89.56,39.26,3599.21,0,0,0,0
Newham LB,97.77,82.52,135.64,81.38,247.68,668.84,169.73,5.28,10.51,0,27.04,0,0,29.19,3004.82,0,0,248.78,2.16
