Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Plastic,Rubble,Paint
Bury MBC,0,2147.28,0,2494.98,0,5.68,0,0,0,0,0,0,7.36,2270.5,0,0,0,0,0
Brent LB,2.92,70.73,49.46,2382.04,127.2,39.9,4.4,1.96,0,0,0.64,229.74,123.46,5317.92,0,0,9.46,22,0
Merton LB,14.39,123.52,114.2,1356.54,532.19,146.17,4.07,0,0,26.12,0.8,2.28,102.7,3887.06,0,51.06,40.96,585.16,0
East Devon District Council,716.42,756.02,167.54,1499.25,0,0,0,0,0,0,0,386.805,88.59,0,5.398,0,166.28,0,0
Rother District Council,502.827,39.795,2.35,922.183,0,16.93,0,0,0,0,0,0,48.457,1693.214,0,0,0,0,0
Gloucester City Council,630.18,910.55,129.2,1166.96,4.76,16.34,0,0,0,0,0,45.13,116.74,0,108.38,0.88,178,0,0
Maidstone Borough Council,43.3,4.89,0,1990.54,0,1.76,0,0,0,0,0,0,2.2,4011.12,0,0,0,0,0
Wyre Borough Council,24.48,1271.27,0.075,1249.38,0,8.36,0,0,0,0,0,0.3,9.73,1098.46,10.92,0,0,0,0
Leicester City Council,46,319,243,597,870,205,0,2,0,44,5,0,40,4201,4,0,0,955,3
Great Yarmouth Borough Council,235.48,84.44,0,282.72,0,29.16,0,0.33,0,0,0,0,129.59,2034.62,48.83,0,0,0,0
Corby Borough Council,11.19,0,0,528.25,0,0,0,0,0,0,0,298.88,22.87,1629.48,0,0,0,0,0
Oxfordshire County Council,100.49,661.44,726.48,1365.58,2408.09,1067.22,35.44,37.2,0,152.29,9.85,54.29,89.3,0,109.9,0,57.18,793.7,0
Salford City Council MBC,0,2337,0,3251,0,4,0,0,0,0,0,0,32,2205,0,0,0,0,0
Sheffield City Council,145.4,4327.8,400.5,1008,1116,426.4,11.3,0,0,100.8,4.7,22.6,82.7,5139.8,0,0,0,0,0
Coventry City Council,0,210.553,100.329,1188.8,822.86,187.4,6.11,3.02,13,45.78,5.05,2.61,153.65,5887.35,0,51.57,0,1527.74,10.38
