,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Bury MBC,0.0,1907.64,0.0,4784.62,0.0,10.32,0.0,0.0,0.0,0.0,0.0,0.0,6.55,1998.42,0.0,0.0,0.0,0.0,0.0
Brent LB,2.22,84.49,62.64,5228.72,0.0,49.839999999999996,2.32,1.68,12.64,4.46,1.32,224.11,138.3,5197.76,0.0,18.14,0.0,37.8,0.0
Merton LB,13.19,151.06,131.2,2447.93,755.79,171.87,3.91,0.0,0.0,22.5,2.9000000000000004,0.0,117.02000000000001,3939.77,0.0,73.79,25.25,1082.38,0.0
East Devon District Council,1002.12,1244.2,141.52,1594.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.25399999999996,99.76,0.0,9.548,211.9,0.0,0.0,0.0
Rother District Council,514.89,131.224,2.67,3399.627,0.0,14.08,0.0,0.0,0.0,0.0,0.0,0.0,48.744,891.494,0.0,0.0,3.307,0.0,0.0
Gloucester City Council,630.6999999999999,906.08,140.51,2779.64,13.82,20.96,0.0,0.0,0.0,0.0,0.0,39.04,34.28,0.0,88.3,177.14,1.12,0.0,0.0
Maidstone Borough Council,43.31,6.88,0.0,4209.0,0.0,12.59,0.0,0.0,0.0,0.0,0.0,0.0,11.83,3615.31,0.0,0.0,0.0,0.0,0.0
Wyre Borough Council,22.54,1235.33,0.21500000000000002,4200.54,0.0,17.549999999999997,0.0,0.0,0.0,0.0,0.0,0.479,63.61,1061.42,38.39,0.0,0.0,0.0,0.0
Leicester City Council,53.0,292.0,285.0,1380.0,1144.0,208.0,2.0,2.0,0.0,0.0,8.0,0.0,59.0,4038.0,0.0,44.0,0.0,1531.0,5.0
Great Yarmouth Borough Council,252.79,10.27,0.0,611.96,0.0,27.5,0.0,0.712,0.0,0.0,0.0,0.0,4.029999999999999,1699.6,0.0,0.0,0.6,0.0,0.0
Corby Borough Council,18.68,0.0,0.0,1867.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,20.17,1542.37,0.0,0.0,0.0,0.0,0.0
Oxfordshire County Council,93.0,666.74,985.63,3918.49,3138.73,1173.35,39.99,19.4,0.0,173.06,10.56,41.74,77.02,0.0,245.15,11.3,0.0,798.38,0.0
Salford City Council MBC,0.0,2499.0,0.0,5384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2317.0,0.0,0.0,0.0,0.0,0.0
Sheffield City Council,138.8,4202.5,508.0,4107.599999999999,1446.3,495.28,11.2,0.0,0.0,114.3,13.7,30.1,102.6,4884.5,0.0,0.0,0.0,0.0,0.0
Coventry City Council,0.0,244.8,89.2,7276.0599999999995,1147.66,208.98000000000002,3.54,9.02,50.06,44.73,8.95,2.48,170.58999999999997,5638.46,0.0,0.0,58.54,2301.99,11.97
