ONS Code,Name,Total Local Authority Collected Waste,Household – Total Waste,Household - waste sent for recycling/composting/reuse (tonnes),Household dry recycling/reuse (tonnes),Household green recycling/reuse (tonnes),Household - Waste not Sent for Recycling,Household - regular collection (not recycled) (tonnes),Household - civic amenity sites (not recycled) (tonnes),Household - other sources (not recycled) (tonnes),Household - estimated rejects (tonnes),Non-household – Total Waste,Non-household - waste sent for recycling/composting/reuse (tonnes),Non-household – Waste not Sent for Recycling ,Non-household - estimated rejects (tonnes),Local Authority Collected Waste - Sent for Recycling/Composting/Reuse,Local Authority Collected Waste - Not Sent for Recycling,Local authority collected - estimated rejects (tonnes)
E07000207,Elmbridge Borough Council,52285,52013,27524,12937,14587,24489,20441,0,2973,1075,271,33,239,0,27557,24728,1075
E07000208,Epsom and Ewell Borough Council,31427,30150,13679,7512,6167,16471,14189,0,2076,206,1277,673,604,0,14353,17075,206
E07000209,Guildford Borough Council,55796,50112,29188,15450,13739,20924,16329,0,3671,924,5684,1563,4121,0,30751,25045,924
E07000210,Mole Valley District Council,33869,33856,19977,10687,9290,13879,10805,0,2483,591,13,2,11,0,19979,13890,591
E07000211,Reigate and Banstead Borough Council,53050,49599,24220,11938,12282,25379,19227,0,2779,3372,3451,297,3154,0,24517,28533,3372
E07000212,Runnymede Borough Council,29756,26968,12013,7136,4877,14955,13328,0,1227,399,2788,107,2681,0,12120,17636,399
E07000213,Spelthorne Borough Council,34078,33536,15284,9672,5612,18252,16007,0,1789,457,542,40,502,0,15323,18755,457
E07000214,Surrey Heath Borough Council,29783,29545,18343,10103,8240,11201,8664,0,1550,987,238,145,93,0,18488,11294,987
E07000215,Tandridge District Council,31063,30407,16156,9912,6245,14250,10811,0,2704,735,656,3,654,0,16159,14904,735
E07000216,Waverley Borough Council,42632,41698,22862,14200,8661,18836,15069,0,2872,896,935,109,825,0,22971,19662,896
E07000217,Woking Borough Council,36332,36143,21204,10768,10436,14939,12167,0,2096,676,189,16,173,0,21220,15112,676
E07000218,North Warwickshire Borough Council,27540,27540,12593,4971,7622,14947,14109,0,836,2,0,2,-2,0,12595,14945,2
E07000219,Nuneaton and Bedworth Borough Council,48910,48540,21158,9298,11860,27382,25441,0,1646,296,369,0,369,0,21158,27752,296
E07000220,Rugby Borough Council,47170,43063,20526,8645,11880,22538,19145,0,2438,955,4106,691,3416,0,21216,25953,955
E07000221,Stratford-on-Avon District Council,54503,54351,32850,13456,19394,21501,18113,0,1961,1426,152,399,-247,0,33250,21254,1426
E07000222,Warwick District Council,50857,50856,28677,11792,16885,22179,17042,0,5118,20,0,0,0,0,28677,22180,20
E07000223,Adur District Council,23877,21611,6922,5130,1792,14689,12949,0,1476,264,2266,124,2142,0,7047,16830,264
E07000224,Arun District Council,53804,53486,20468,13735,6733,33018,29604,0,2552,862,318,9,308,0,20477,33326,862
E07000225,Chichester District Council,50869,44163,17642,13104,4538,26521,21329,0,4373,819,6706,645,6061,0,18287,32582,819
E07000226,Crawley Borough Council,32572,31308,8644,7290,1355,22663,20655,0,1540,468,1264,284,980,0,8929,23643,468
E07000227,Horsham District Council,56766,53833,23775,12571,11204,30058,28222,0,832,1004,2933,265,2668,13,24040,32726,1018
E07000228,Mid Sussex District Council,46173,46055,18056,12941,5115,27999,25063,0,2087,849,118,46,72,0,18102,28070,849
E07000229,Worthing Borough Council,42698,37979,13118,8614,4504,24861,22132,0,2186,543,4718,127,4591,0,13245,29452,543
E07000234,Bromsgrove District Council,40212,38563,17094,9790,7304,21469,18909,0,1374,1187,1649,126,1523,0,17220,22992,1187
E07000235,Malvern Hills District Council,26194,24711,9458,7162,2295,15254,13522,0,944,788,1482,65,1417,0,9523,16671,788
E07000236,Redditch Borough Council,28569,28485,8971,8427,544,19514,17529,0,1029,956,84,4,79,0,8976,19593,956
E07000237,Worcester City Council,34157,31715,11849,9948,1901,19866,17979,0,724,1163,2442,62,2379,0,11911,22246,1163
E07000238,Wychavon District Council,47161,44685,19617,13494,6122,25069,21730,0,1786,1553,2476,150,2327,0,19766,27395,1553
E07000239,Wyre Forest District Council,39928,38589,11943,9682,2261,26646,24405,0,1086,1155,1339,49,1290,0,11992,27935,1155
E07000100,St Albans City and District Council,52324,51660,26947,12418,14529,24713,22306,0,2190,217,664,59,606,0,27005,25319,217
E07000104,Welwyn Hatfield Council,44191,40855,19823,8766,11057,21031,16769,0,4236,27,3336,732,2604,0,20556,23635,27
E07000097,East Hertfordshire District Council,56997,54669,26629,12552,14077,28040,26025,0,2015,0,2328,0,2328,0,26629,30368,0
E07000101,Stevenage Borough Council,34042,31839,12551,6324,6227,19288,15925,0,3376,-13,2203,216,1987,0,12767,21275,-13
E08000001,Bolton MBC,100748,94879,37132,19626,17506,57747,50949,0,5090,1708,5869,18,5851,0,37150,63598,1708
E08000002,Bury MBC,70605,65413,32088,16097,15991,33325,27700,0,4184,1441,5192,0,5192,0,32088,38517,1441
E08000003,Manchester City Council MBC,177535,169830,54222,28762,25461,115607,96333,0,16223,3051,7705,1991,5714,0,56214,121321,3051
E08000004,Oldham MBC,85053,75474,27607,14610,12997,47867,41075,0,5380,1413,9579,822,8757,0,28430,56624,1413
E08000005,Rochdale MBC,69866,68298,27387,14061,13326,40911,35362,0,4231,1318,1568,1,1567,0,27388,42478,1318
E08000006,Salford City Council MBC,94410,81800,34554,18415,16139,47246,42586,0,4046,614,12610,0,12610,0,34554,59856,614
E08000007,Stockport MBC,104503,103233,61281,25194,36087,41952,34142,0,6162,1648,1270,0,1270,0,61281,43222,1648
E08000008,Tameside MBC,76412,68605,33326,17847,15478,35279,32562,0,1036,1681,7806,0,7806,0,33326,43086,1681
E08000009,Trafford MBC,88444,82702,49921,20231,29690,32780,25933,0,5232,1616,5742,981,4761,0,50903,37542,1616
E08000010,Wigan MBC,146225,137408,57998,35048,22950,79410,59199,9825,5828,4558,8816,7891,925,0,65890,80335,4558
E08000011,Knowsley MBC,58596,55213,19807,12482,7324,35406,31908,0,2241,1258,3384,103,3281,0,19909,38687,1258
E08000012,Liverpool City Council,182988,174344,50975,33621,17353,123370,110527,0,10672,2171,8644,365,8279,0,51340,131649,2171
E08000013,St Helens MBC,73073,68746,26821,13930,12892,41924,38293,0,3631,0,4327,3034,1293,0,29855,43218,0
E08000014,Sefton MBC,110000,107653,42567,22872,19695,65086,61664,0,2853,569,2347,38,2309,0,42605,67395,569
E08000015,Wirral MBC,124171,121740,44254,30899,13355,77486,67188,0,8942,1356,2431,227,2204,0,44481,79690,1356
E08000016,Barnsley MBC,111546,100989,45806,23765,22041,55183,43378,5921,3362,2523,10556,4056,6500,0,49862,61684,2523
E08000017,Doncaster MBC,158502,137467,62556,32420,30136,74912,58293,7875,8919,-176,21035,9826,11209,0,72382,86120,-176
E08000018,Rotherham MBC,119703,111565,45641,24674,20967,65924,51143,6496,4424,3861,8138,5723,2415,0,51364,68338,3861
E08000019,Sheffield City Council,202461,191239,55245,45451,9794,135994,120843,9078,5549,523,11222,1559,9663,0,56804,145657,523
E08000021,Newcastle-upon-Tyne City Council MBC,141938,110449,42559,25829,16731,67889,53181,8257,5877,574,31490,5803,25686,3417,48363,93576,3991
E08000022,North Tyneside Council,105285,93052,34028,19984,14044,59024,46432,8023,4627,-58,12232,5869,6363,0,39898,65387,-58
E08000023,South Tyneside MBC,79730,67692,25049,16785,8264,42642,31889,6275,2737,1740,12039,6862,5177,0,31912,47819,1740
E08000024,Sunderland City Council,134708,123239,36171,23403,12768,87068,66967,7834,9628,2639,11469,5011,6458,0,41183,93526,2639
E08000025,Birmingham City Council,502056,415033,94935,61745,33190,320098,242045,38171,22154,17728,87023,20563,66460,0,115498,386557,17728
E08000026,Coventry City Council,164380,128595,38905,21997,16908,89690,74786,8586,4358,1960,35785,11822,23963,0,50727,113653,1960
E08000027,Dudley MBC,139877,125150,48219,25552,22667,76931,63824,7910,4619,577,14727,3533,11193,0,51752,88125,577
E08000028,Sandwell MBC,142156,126963,51927,31946,19982,75036,58745,8120,3397,4773,15193,3374,11819,0,55301,86855,4773
E08000029,Solihull MBC,97783,92095,39450,20985,18465,52645,40758,5691,5125,1071,5687,5241,447,0,44691,53092,1071
E08000030,Walsall MBC,121567,111090,46349,27286,19063,64741,54566,5383,2436,2355,10478,3336,7142,0,49685,71883,2355
E08000031,Wolverhampton MBC,125761,107918,42591,20036,22555,65327,44882,9938,6645,3863,17843,4183,13659,0,46775,78987,3863
E08000032,Bradford City MDC (MBC),233263,204358,81444,43304,38140,122914,102931,10636,9471,-124,28905,10435,18470,0,91879,141384,-124
E08000033,Calderdale MBC,87604,82488,38173,26218,11956,44315,30297,9972,4046,0,5116,5116,0,0,43290,44315,0
E08000034,Kirklees MBC,210655,174097,49678,31430,18248,124419,79543,18522,18584,7770,36558,16331,20227,0,66009,144646,7770
E08000035,Leeds City Council MBC,331045,309164,118830,67192,51638,190334,150455,18418,12403,9058,21881,2426,19455,0,121256,209789,9058
E08000036,Wakefield City MDC,168695,147365,57360,35222,22138,90005,68915,8501,8444,4145,21329,2404,18925,0,59765,108930,4145
E08000037,Gateshead MBC,95440,85502,28373,20238,8134,57130,43284,8762,3902,1182,9938,3453,6485,0,31825,63615,1182
E09000001,City of London,3935,3756,1156,970,186,2601,1458,0,1074,69,179,24,154,0,1180,2755,69
E09000002,Barking and Dagenham LB,92565,86565,16345,10778,5567,70221,48223,8637,9835,3525,6000,2440,3560,0,18785,73780,3525
E09000003,Barnet LB,163007,147758,54431,33194,21237,93327,78218,6147,7035,1927,15249,3642,11607,0,58073,104934,1927
E09000004,Bexley LB,121299,94424,49099,29649,19449,45325,32674,7364,4921,367,26875,8034,18841,0,57133,64166,367
E09000005,Brent LB,107555,94972,33957,21745,12212,61016,52364,1876,3276,3500,12583,154,12429,0,34111,73444,3500
E09000006,Bromley LB,146237,122742,56792,32087,24705,65950,49174,8190,7996,590,23496,456,23040,0,57247,88990,590
E09000007,Camden LB,113687,79730,19795,16365,3430,59935,44406,1138,11794,2597,33957,6719,27238,0,26514,87173,2597
E09000008,Croydon LB,167753,153584,58020,33316,24704,95564,40577,6997,46091,1899,14169,10837,3332,0,68857,98896,1899
E09000009,Ealing LB,133911,91653,39369,28316,11054,52284,45800,4453,1820,211,42259,215,42044,0,39584,94327,211
E09000010,Enfield LB,135744,122027,43762,24892,18870,78266,61723,8178,5859,2506,13716,183,13534,0,43945,91799,2506
E09000011,Greenwich LB,113846,106523,37076,21911,15165,69448,44728,0,20678,4041,7322,3557,3765,0,40633,73212,4041
E09000012,Hackney LB,119185,87349,21693,16409,5284,65656,55173,303,8498,1681,31836,4643,27193,0,26336,92848,1681
E09000013,Hammersmith and Fulham LB,75395,51798,11378,10754,624,40419,38018,0,830,1571,23598,473,23124,0,11852,63544,1571
E09000014,Haringey LB,108595,86922,31434,22904,8530,55488,46077,2933,4423,2054,21673,3853,17820,0,35287,73308,2054
E09000015,Harrow LB,107855,97659,39898,19468,20430,57761,42245,8899,3983,2634,10196,119,10077,0,40017,67838,2634
E09000016,Havering LB,106194,99425,31646,19898,11747,67780,55143,7941,3348,1347,6769,2464,4305,0,34109,72084,1347
E09000017,Hillingdon LB,111389,96215,42440,25099,17341,53775,47275,5127,523,850,15174,1546,13628,0,43986,67403,850
E09000018,Hounslow LB,98811,92438,31211,20400,10811,61227,51739,1979,3819,3690,6373,2057,4316,0,33268,65543,3690
E09000019,Islington LB,100314,61396,18023,13817,4206,43373,30853,1539,9397,1585,38918,4729,34189,0,22752,77562,1585
E09000020,Royal Borough of Kensington and Chelsea,80474,54094,14008,12824,1184,40087,37756,0,546,1784,26380,2925,23455,0,16932,63542,1784
E09000021,Royal Borough of Kingston upon Thames ,65806,62036,28435,18920,9515,33601,28432,2954,2139,76,3770,2997,773,0,31432,34374,76
E09000022,Lambeth LB,122036,86621,24843,18795,6048,61778,58882,0,571,2325,35415,1089,34326,0,25932,96104,2325
E09000023,Lewisham LB,130061,104015,18722,17732,990,85292,66723,4166,11840,2563,26046,2869,23177,0,21591,108470,2563
E09000024,Merton LB,84976,73474,25605,18503,7101,47870,41257,2615,2656,1343,11502,3984,7517,0,29589,55387,1343
E09000025,Newham LB,127847,117910,17322,14134,3189,100588,75369,8498,11664,5056,9936,1698,8238,0,19021,108826,5056
E09000026,Redbridge LB,114212,105678,29309,17559,11750,76369,64539,3881,7410,538,8534,1868,6665,0,31177,83035,538
E09000027,Richmond upon Thames LB,89234,74983,30379,19907,10472,44604,34747,5554,3451,853,14251,5307,8943,0,35687,53547,853
E09000028,Southwark LB,120906,113924,39820,29801,10018,74105,53296,2707,16377,1725,6981,2767,4214,0,42587,78319,1725
E09000029,Sutton LB,84101,75115,26079,19479,6601,49035,41781,2991,3088,1176,8986,3263,5723,0,29343,54758,1176
E09000030,Tower Hamlets LB,114100,74545,19909,18590,1319,54636,40812,1739,9591,2494,39555,4335,35220,0,24243,89857,2494
E09000031,Waltham Forest LB,111156,100477,34759,23609,11150,65718,54278,2323,6849,2267,10679,4071,6609,0,38830,72327,2267
E09000032,Wandsworth LB,104324,96933,20456,19351,1105,76477,71495,0,2241,2741,7391,756,6635,0,21212,83111,2741
E09000033,Westminster City Council,194867,93127,16079,16043,36,77048,53157,0,22027,1864,101739,14152,87587,0,30232,164635,1864
E10000002,Buckinghamshire County Council,265636,243409,135101,75237,59864,108308,75590,16642,14299,1777,22227,2478,19748,0,137579,128056,1777
E10000003,Cambridgeshire County Council,330310,304757,174638,93734,80904,130119,100989,14321,11830,2980,25553,15771,9782,0,190409,139901,2980
E10000006,Cumbria County Council,273412,248481,106755,58459,48296,141726,106847,15707,18780,392,24931,17379,7552,0,124133,149279,392
E10000007,Derbyshire County Council,396212,367451,174808,96378,78430,192642,149872,21594,16293,4883,28761,9637,19125,0,184445,211767,4883
E10000008,Devon County Council,375761,356998,196550,104924,91626,160448,137643,15549,5463,1793,18763,6106,12657,0,202656,173105,1793
E10000009,Dorset Waste Partnership,219292,197809,115809,59227,56582,82001,46648,17888,7213,10251,21483,8505,12978,0,124313,94979,10251
E10000011,East Sussex County Council,259776,249697,103990,62796,41194,145707,105569,25103,10595,4440,10079,8298,1781,0,112288,147488,4440
E10000012,Essex County Council,731305,681586,348623,198532,150091,332963,259174,54110,11839,7840,49719,11123,38596,0,359746,371560,7840
E10000013,Gloucestershire County Council,301597,281807,135643,76860,58782,146164,112175,19430,12359,2200,19790,7231,12559,0,142874,158723,2200
E10000014,Hampshire County Council,658270,619056,241951,156304,85647,377105,256541,81852,25334,13379,39213,25178,14035,0,267129,391141,13379
E10000015,Hertfordshire County Council,529046,493448,248476,131682,116794,244972,189153,21797,26882,7141,35597,19510,16088,0,267986,261060,7141
E10000016,Kent County Council,716196,675930,297991,172373,125617,377939,277428,54579,36751,9181,40266,33442,6824,0,331433,384763,9181
E10000017,Lancashire County Council,594637,545547,281726,156591,125135,263821,190066,33716,34124,5915,49090,11164,37926,0,292890,301746,5915
E10000018,Leicestershire County Council,349865,316267,157037,79964,77073,159230,116128,31136,9512,2454,33598,15878,17720,0,172915,176950,2454
E10000019,Lincolnshire County Council,355849,343574,161380,89264,72117,182193,142060,14656,11862,13615,12276,8908,3368,0,170288,185561,13615
E10000020,Norfolk County Council,411457,392596,179778,103377,76400,212818,169233,23604,10534,9446,18861,9506,9355,0,189284,222173,9446
E10000023,North Yorkshire County Council,323046,301119,144741,80976,63765,156378,125711,18634,10729,1304,21927,3546,18380,0,148288,174758,1304
E10000021,Northamptonshire County Council,361319,332445,152864,78729,74135,179582,131625,33344,11464,3149,28874,17995,10879,0,170858,190461,3149
E10000024,Nottinghamshire County Council,408079,374157,159071,96716,62355,215086,186607,15096,8695,4687,33923,19338,14585,0,178409,229670,4687
E10000025,Oxfordshire County Council,315579,290218,169716,92804,76912,120502,85198,15134,10801,9369,25360,12438,12922,0,182155,133424,9369
E10000027,Somerset County Council,264526,257421,136056,75232,60824,121364,84429,21292,15645,-1,7106,1663,5443,0,137720,126807,-1
E10000028,Staffordshire County Council,433821,409656,205893,98549,107343,203764,147528,31888,15758,8590,24164,18955,5210,0,224847,208973,8590
E10000029,Suffolk County Council,390818,349999,185484,107118,78366,164515,135713,13405,12584,2812,40819,16634,24185,0,202118,188700,2812
E10000030,Surrey County Council,570774,529433,291122,164597,126525,238310,150964,49886,27145,10316,41341,28405,12936,119,319528,251246,10435
E10000031,Warwickshire County Council,275688,260195,140881,67967,72914,119314,92184,14104,9530,3496,15493,9434,6059,0,150315,125373,3496
E10000032,West Sussex County Council,447343,399817,168521,103824,64697,231296,157196,54392,14871,4837,47526,29525,18001,0,198046,249297,4837
E10000034,Worcestershire County Council,298987,271742,112396,72711,39685,159346,113642,23095,7284,15325,27245,18702,8543,0,131098,167889,15325
E50000001,East London Waste Authority,441199,413045,94530,62321,32209,318515,243605,28348,36095,10467,28153,8556,19597,0,103086,338113,10467
E50000002,North London Waste Authority,850296,711106,223935,151223,72712,487172,399778,21205,51572,14618,139190,28496,110694,0,252431,597865,14618
E50000003,West London Waste Authority,660238,572738,219685,137062,82623,353054,266246,42293,32777,11738,87499,10302,77197,0,229987,430251,11738
E50000004,Western Riverside Waste Authority,398438,305071,70685,61890,8796,234386,206151,12617,7197,8422,93367,5826,87541,0,76511,321927,8422
E50000005,Greater Manchester WDA (MBC),1136395,1009070,446261,245397,200863,562809,372016,121452,54634,14707,127326,32156,95170,23971,478416,657979,38677
E50000006,Merseyside WDA (MBC),706887,648289,267110,175864,91246,381179,307688,40336,27704,5452,58599,41374,17225,0,308484,398404,5452
